r,p_r,log_Pr_theta,half_log_Pr,r_ln2,log_Ar,Delta_r,deficiency_dr,dr_over_theta,A_r
9,23,19.22309870012918,9.61154935006459,6.238324625039508,12.81333508693295,3.2017857368683593,0.17143898815672465,0.008918384638766515,367080
10,29,22.590394530115656,11.295197265057828,6.931471805599453,13.498556202220474,2.203358937162646,2.1603665222957282,0.09563208466393561,728364
11,31,26.0243817346008,13.0121908673004,7.6246189861593985,17.987161688041024,4.974970820740623,0.41260106040038025,0.015854403943506762,64822394
12,37,29.635299647245027,14.817649823622514,8.317766166719343,20.9904170946879,6.172767271065386,0.32711638583778324,0.011038065743606976,1306238010
13,41,33.348871713949336,16.674435856974668,9.010913347279288,23.137624701996174,6.463188845021506,1.2003336646738738,0.03599323164422957,11182598504
14,43,37.1100718296429,18.55503591482145,9.704060527839234,27.295606765935904,8.740570851114455,0.11040453586776167,0.0029750558386031577,715041747420
15,47,40.960219431352954,20.480109715676477,10.39720770839918,31.580599580684147,11.10048986500767,-1.0175878577303727,-0.02484332046696657,51913478860880
16,53,44.93051134490508,22.46525567245254,11.090354888959125,33.750760482513236,11.285504810060697,0.08939597343271544,0.0019896495890392874,454746157008780
17,59,49.0080487888108,24.5040243944054,11.78350206951907,36.77031225677077,12.266287862365374,0.4542344625209509,0.009268568607543886,9314160363311804
18,61,53.11892265298411,26.559461326492055,12.476649250079015,40.10353472787017,13.544073401378114,0.5387386750349279,0.010142123524500033,261062105979210899
19,67,57.32361527237507,28.661807636187536,13.16979643063896,40.10353472787017,11.441727091682633,4.050284113865942,0.07065646670435705,261062105979210899
20,71,61.58629514941639,30.793147574708193,13.862943611198906,47.992652706481095,17.199505131772902,-0.26930116826361683,-0.004372745066256333,696537082207206753590
21,73,65.87675459056479,32.93837729528239,14.556090791758852,52.34508129315318,19.406703997870785,-1.0244174943472402,-0.01555051551513381,54097844397380813592485
22,79,70.2462024430318,35.1231012215159,15.249237972318797,54.01200811046286,18.888906888946956,0.9849563602501519,0.014021489076921002,286495021083846822067820
23,83,74.6650430508284,37.3325215254142,15.942385152878742,59.64565248044876,22.31313095503456,-0.9229945824991006,-0.01236180339266355,80126789479717708423427654
24,89,79.15367942056054,39.57683971028027,16.635532333438686,62.614565110080484,23.037725399800216,-0.09641802295863755,-0.0012181116994744849,1560127578864999430859224574
25,97,83.72839039906393,41.86419519953196,17.328679513998633,67.2538467024218,25.389651502889834,-0.8541358173565072,-0.010201268808411924,161426380685234430031618378949
26,101,88.34351091590518,44.17175545795259,18.021826694558577,69.14366576280787,24.971910304855278,1.1780184585387303,0.013334521645399564,1068347404745574833712572391014
27,103,92.97823990413482,46.48911995206741,18.714973875118524,73.02039717532885,26.53127722326144,1.2428688536874546,0.013367308899038248,51565063824073875067459064628030
28,107,97.65106873859672,48.82553436929836,19.408121055678468,78.84042837182292,30.014894002524564,-0.5974806889046675,-0.006118526879660381,17376527530646578467434402114640744
29,109,102.34241662082587,51.171208310412936,20.101268236238415,80.40630268968094,29.235094379268006,1.8348456949065195,0.017928496858780868,83178975774588723362622809955011654
30,113,107.0698044395382,53.5349022197691,20.79441541679836,87.61035325370521,34.07545103393611,-1.3349642309653689,-0.012468167266703254,111864677694414289915788562532755718450
31,127,111.9139915259968,55.9569957629984,21.487562597358306,89.80387180702435,33.84687604402595,0.6225571216141503,0.005562817598812342,1003057845958615687964806940916548516949
32,131,116.78918884919796,58.39459442459898,22.18070977791825,95.27173286165831,36.87713843705933,-0.6632537903786044,-0.005679068387357494,237677386422383250538406793947802711579305
33,137,121.70916977502607,60.854584887513035,22.873856958478193,98.52632750358363,37.671742616070595,0.30898531296425347,0.0025387184345715195,6158009534632138601476281839417693232400059
34,139,126.64364370815677,63.32182185407839,23.56700413903814,103.50282633953023,40.181004485451844,-0.42618677041159003,-0.0033652440654164508,892701656491187081164611632168881921660342530
35,149,131.64759001410224,65.82379500705112,24.260151319598084,105.56170336709171,39.73790836004059,1.8257353274124455,0.013868353588674663,6996249238361835249103192602374926615961727114
36,151,136.66486985091714,68.33243492545857,24.95329850015803,112.052165594214,43.71973066875543,-0.34059424345488765,-0.002492185766733103,4609323640415818597292154101076585409117204302644
37,157,141.72111565626545,70.86055782813273,25.646445680717974,117.30632157182553,46.44576374369281,-1.2316515962780556,-0.008690671044852197,882039736851316706724031531710182642203588168802990
38,163,146.81486585707222,73.40743292853611,26.33959286127792,120.71737310241521,47.3099401738791,-0.24210010662091008,-0.0016490162982310001,26723233610914899497820701071045512742529413763429360
39,167,151.93285966948898,75.96642983474449,27.032740041837865,123.63783459618728,47.67140476144279,1.2622850314638328,0.008308176613076175,495711871395964329449930765914455544572580011386222729
40,173,157.08615126398675,78.54307563199337,27.725887222397812,127.91105500570222,49.36797937370885,1.4492090358867245,0.009225568417239382,35568484681392921670787996681298562177534429506921274110
41,179,162.2735370698275,81.13676853491376,28.419034402957756,132.7044563863883,51.567687851474545,1.1500462804814617,0.007087084568734015,4293516463875039435537556901919339560791735904187857674700
42,181,167.47203410109333,83.73601705054666,29.112181583517703,139.75412579803574,56.01810874748908,-1.3942732804601121,-0.00832540960013938,4948181910936851885987922217503999483256712958626162529115544
43,191,172.72430752913996,86.36215376456998,29.805328764077647,142.17610985813238,55.813956093562396,0.7428689069299423,0.004300893820660502,55757073348011177784481165006278212903061670190777414906960985
44,193,177.98699771804485,88.99349885902242,30.498475944637594,147.31466961861636,58.32117075959394,0.1738521547908931,0.0009767688483981179,9504912402809307192561846393267223322383141048735401635105367984
45,197,183.27020144678283,91.63510072339142,31.191623125197538,151.61527870928253,59.98017798589112,0.4632996123027624,0.002527959311690358,700936887341021660629271349633516907393272943414676792343665052255
46,199,188.56350627150732,94.28175313575366,31.884770305757485,156.20443189286345,61.92267875710979,0.4743040728863832,0.002515354546936808,68979941211663467981891685180356798343731381481900118460455756739439
47,211,193.9153644049834,96.9576822024917,32.57791748631743,161.77959576554795,64.82191356305626,-0.44214884688199163,-0.0022801125028885484,18196410492761920706572497208032984055308993462038660003586896894251379
48,223,199.32253617644352,99.66126808822176,33.27106466687737,165.5213349446446,65.86006685642283,0.5301365649215484,0.002659692050337263,767365736541086742998292986840101931041027323455779248586748741259906600
49,227,204.7474861939249,102.37374309696246,33.96421184743732,171.5358942681789,69.16215117121645,-0.7526199216913199,-0.0036758445033043385,314117642255833415060059679966029353720870772399717644765577248174782146415
50,229,210.18120819747915,105.09060409873958,34.657359027997266,176.12831831516993,71.03771421643036,-0.6044691456880571,-0.0028759428631703284,31013926347250996441335287579468990204490160361567217147251180426838656387589
51,233,215.63224665104485,107.81612332552243,35.350506208557206,179.71770018377995,71.90157685825753,0.5640402587077062,0.00261575097170177,1123066544761638870607762975927078396103314420948376866902186723521463094667544
52,239,221.10871020297637,110.55435510148818,36.04365338911715,185.6205819910194,75.06622688953122,-0.5555251771602059,-0.0025124527055050763,411144501344186252691441801192421168206604862237003166728665955937565833465542445
53,241,226.59350713646703,113.29675356823351,36.7368005696771,189.67089111797395,76.37413754974044,0.18581544881595846,0.000820038716749506,23605944961480139800222304603317638872026577748544210642040771090581824448269816455
54,251,232.1189600755988,116.0594800377994,37.42994775023705,193.32387443477384,77.26439439697444,1.3651378905879312,0.005881199408024745,910944435246121929210430964239656890846747556010003131262553949437785577876036272674
55,257,237.66803616049404,118.83401808024702,38.12309493079699,198.8755687864848,80.04155070623777,0.6693724432122679,0.002816417613516399,234726492583544950827392691475595841441212225699740624015638578932310316312612782545394
